Country,Time,Value
Germany,2000-01,1.549464
Germany,2000-02,1.547619
Germany,2000-03,1.547619
Germany,2000-04,1.066351
Germany,2000-05,0.9478673
Germany,2000-06,1.301775
Germany,2000-07,1.295642
Germany,2000-08,1.179245
Germany,2000-09,1.654846
Germany,2000-10,1.656805
Germany,2000-11,1.534829
Germany,2000-12,2.0
Germany,2001-01,1.408451
Germany,2001-02,1.875733
Germany,2001-03,1.875733
Germany,2001-04,2.344666
Germany,2001-05,2.816901
Germany,2001-06,2.453271
Germany,2001-07,2.093023
Germany,2001-08,2.097902
Germany,2001-09,1.860465
Germany,2001-10,1.862631
Germany,2001-11,1.511628
Germany,2001-12,1.614763
Germany,2002-01,2.083333
Germany,2002-02,1.841197
Germany,2002-03,2.071346
Germany,2002-04,1.489118
Germany,2002-05,1.255708
Germany,2002-06,1.140251
Germany,2002-07,1.138952
Germany,2002-08,1.255708
Germany,2002-09,1.255708
Germany,2002-10,1.257143
Germany,2002-11,1.145475
Germany,2002-12,1.135074
Germany,2003-01,1.020408
Germany,2003-02,1.242938
Germany,2003-03,1.127396
Germany,2003-04,0.9029346
Germany,2003-05,0.5636979
Germany,2003-06,0.9019166
Germany,2003-07,1.013514
Germany,2003-08,1.127396
Germany,2003-09,1.014656
Germany,2003-10,1.128668
Germany,2003-11,1.245753
Germany,2003-12,1.122334
Germany,2004-01,1.122334
Germany,2004-02,0.78125
Germany,2004-03,1.003345
Germany,2004-04,1.677852
Germany,2004-05,2.130045
Germany,2004-06,1.787709
Germany,2004-07,1.783723
Germany,2004-08,1.895206
Germany,2004-09,1.785714
Germany,2004-10,1.897321
Germany,2004-11,1.901566
Germany,2004-12,2.219756
Germany,2005-01,1.442841
Germany,2005-02,1.66113
Germany,2005-03,1.766004
Germany,2005-04,1.210121
Germany,2005-05,1.207464
Germany,2005-06,1.317234
Germany,2005-07,1.533406
Germany,2005-08,1.531729
Germany,2005-09,1.864035
Germany,2005-10,1.861993
Germany,2005-11,1.756312
Germany,2005-12,1.411509
Germany,2006-01,1.859956
Germany,2006-02,1.851852
Germany,2006-03,1.409978
Germany,2006-04,1.956522
Germany,2006-05,1.735358
Germany,2006-06,1.84182
Germany,2006-07,1.833873
Germany,2006-08,1.508621
Germany,2006-09,1.076426
Germany,2006-10,1.075269
Germany,2006-11,1.402373
Germany,2006-12,1.391863
Germany,2007-01,1.718582
Germany,2007-02,1.71123
Germany,2007-03,1.925134
Germany,2007-04,2.132196
Germany,2007-05,2.132196
Germany,2007-06,1.914894
Germany,2007-07,2.012712
Germany,2007-08,2.123142
Germany,2007-09,2.662407
Germany,2007-10,2.765957
Germany,2007-11,3.297872
Germany,2007-12,3.167899
Germany,2008-01,2.851109
Germany,2008-02,2.839117
Germany,2008-03,3.147954
Germany,2008-04,2.400835
Germany,2008-05,3.02714
Germany,2008-06,3.235908
Germany,2008-07,3.322949
Germany,2008-08,3.118503
Germany,2008-09,2.80083
Germany,2008-10,2.380952
Germany,2008-11,1.338826
Germany,2008-12,1.125896
Germany,2009-01,0.9240246
Germany,2009-02,1.124744
Germany,2009-03,0.4069176
Germany,2009-04,0.7135576
Germany,2009-05,0.0
Germany,2009-06,0.1011122
Germany,2009-07,-0.5025126
Germany,2009-08,0.0
Germany,2009-09,-0.2018164
Germany,2009-10,0.0
Germany,2009-11,0.4065041
Germany,2009-12,0.8097166
Germany,2010-01,0.7121058
Germany,2010-02,0.5055612
Germany,2010-03,1.215806
Germany,2010-04,1.214575
Germany,2010-05,1.215806
Germany,2010-06,0.9090909
Germany,2010-07,1.111111
Germany,2010-08,1.008065
Germany,2010-09,1.213347
Germany,2010-10,1.314459
Germany,2010-11,1.518219
Germany,2010-12,1.305221
Germany,2011-01,1.717172
Germany,2011-02,1.911469
Germany,2011-03,2.002002
Germany,2011-04,1.9
Germany,2011-05,2.002002
Germany,2011-06,2.102102
Germany,2011-07,2.097902
Germany,2011-08,2.095808
Germany,2011-09,2.397602
Germany,2011-10,2.295409
Germany,2011-11,2.392822
Germany,2011-12,1.982161
Germany,2012-01,2.085402
Germany,2012-02,2.171767
Germany,2012-03,2.158979
Germany,2012-04,1.962709
Germany,2012-05,1.962709
Germany,2012-06,1.666667
Germany,2012-07,1.8591
Germany,2012-08,2.150538
Germany,2012-09,2.04878
Germany,2012-10,2.04878
Germany,2012-11,1.94742
Germany,2012-12,2.040816
Germany,2013-01,1.653697
Germany,2013-02,1.545894
Germany,2013-03,1.440922
Germany,2013-04,1.154957
Germany,2013-05,1.539942
Germany,2013-06,1.832208
Germany,2013-07,1.92123
Germany,2013-08,1.531101
Germany,2013-09,1.434034
Germany,2013-10,1.24283
Germany,2013-11,1.337154
Germany,2013-12,1.428571
Germany,2014-01,1.339713
Germany,2014-02,1.236917
Germany,2014-03,1.041667
Germany,2014-04,1.332065
Germany,2014-05,0.8530806
Germany,2014-06,1.041667
Germany,2014-07,0.8482563
Germany,2014-08,0.8482563
Germany,2014-09,0.8482563
Germany,2014-10,0.7554296
Germany,2014-11,0.5655043
Germany,2014-12,0.1877934
Germany,2015-01,-0.2832861
Germany,2015-02,-0.04656311
Germany,2015-03,0.1747867
Germany,2015-04,0.8662329
Germany,2015-05,1.162551
Germany,2015-06,0.8781202
Germany,2015-07,0.7956734
Germany,2015-08,0.7956734
Germany,2015-09,0.5952844
Germany,2015-10,0.8781202
Germany,2015-11,0.1747867
Germany,2015-12,0.1747867
Germany,2016-01,0.5076142
Germany,2016-02,0.1008065
Germany,2016-03,0.3009027
Germany,2016-04,-0.0998004
Germany,2016-05,0.1992032
Germany,2016-06,0.2988048
Germany,2016-07,0.4970179
Germany,2016-08,0.3976143
Germany,2016-09,0.5976096
Germany,2016-10,0.7968128
Germany,2016-11,0.8024072
Germany,2016-12,1.504514
Germany,2017-01,1.616162
Germany,2017-02,1.913394
