Country,Time,Value
Germany,2000-01,8.2
Germany,2000-02,8.1
Germany,2000-03,8.1
Germany,2000-04,8.0
Germany,2000-05,8.0
Germany,2000-06,8.0
Germany,2000-07,7.9
Germany,2000-08,7.9
Germany,2000-09,7.9
Germany,2000-10,7.8
Germany,2000-11,7.8
Germany,2000-12,7.7
Germany,2001-01,7.7
Germany,2001-02,7.7
Germany,2001-03,7.6
Germany,2001-04,7.6
Germany,2001-05,7.7
Germany,2001-06,7.7
Germany,2001-07,7.8
Germany,2001-08,7.8
Germany,2001-09,7.9
Germany,2001-10,8.0
Germany,2001-11,8.0
Germany,2001-12,8.1
Germany,2002-01,8.1
Germany,2002-02,8.2
Germany,2002-03,8.2
Germany,2002-04,8.3
Germany,2002-05,8.4
Germany,2002-06,8.5
Germany,2002-07,8.6
Germany,2002-08,8.7
Germany,2002-09,8.9
Germany,2002-10,9.0
Germany,2002-11,9.1
Germany,2002-12,9.2
Germany,2003-01,9.4
Germany,2003-02,9.5
Germany,2003-03,9.6
Germany,2003-04,9.7
Germany,2003-05,9.7
Germany,2003-06,9.8
Germany,2003-07,9.8
Germany,2003-08,9.8
Germany,2003-09,9.8
Germany,2003-10,9.8
Germany,2003-11,9.8
Germany,2003-12,9.8
Germany,2004-01,9.8
Germany,2004-02,10.1
Germany,2004-03,10.3
Germany,2004-04,10.3
Germany,2004-05,10.3
Germany,2004-06,10.3
Germany,2004-07,10.3
Germany,2004-08,10.4
Germany,2004-09,10.4
Germany,2004-10,10.5
Germany,2004-11,10.6
Germany,2004-12,10.7
Germany,2005-01,10.7
Germany,2005-02,10.9
Germany,2005-03,10.9
Germany,2005-04,11.2
Germany,2005-05,11.2
Germany,2005-06,11.2
Germany,2005-07,11.2
Germany,2005-08,11.2
Germany,2005-09,11.1
Germany,2005-10,11.0
Germany,2005-11,10.9
Germany,2005-12,10.7
Germany,2006-01,10.6
Germany,2006-02,10.5
Germany,2006-03,10.5
Germany,2006-04,10.3
Germany,2006-05,10.2
Germany,2006-06,10.1
Germany,2006-07,10.0
Germany,2006-08,9.9
Germany,2006-09,9.8
Germany,2006-10,9.7
Germany,2006-11,9.6
Germany,2006-12,9.4
Germany,2007-01,9.2
Germany,2007-02,9.1
Germany,2007-03,8.9
Germany,2007-04,8.8
Germany,2007-05,8.6
Germany,2007-06,8.6
Germany,2007-07,8.5
Germany,2007-08,8.4
Germany,2007-09,8.4
Germany,2007-10,8.3
Germany,2007-11,8.2
Germany,2007-12,8.1
Germany,2008-01,8.0
Germany,2008-02,7.9
Germany,2008-03,7.8
Germany,2008-04,7.7
Germany,2008-05,7.6
Germany,2008-06,7.4
Germany,2008-07,7.3
Germany,2008-08,7.1
Germany,2008-09,7.0
Germany,2008-10,7.0
Germany,2008-11,7.0
Germany,2008-12,7.0
Germany,2009-01,7.1
Germany,2009-02,7.1
Germany,2009-03,7.2
Germany,2009-04,7.3
Germany,2009-05,7.3
Germany,2009-06,7.4
Germany,2009-07,7.4
Germany,2009-08,7.4
Germany,2009-09,7.3
Germany,2009-10,7.2
Germany,2009-11,7.1
Germany,2009-12,7.1
Germany,2010-01,7.0
Germany,2010-02,7.0
Germany,2010-03,6.9
Germany,2010-04,6.8
Germany,2010-05,6.7
Germany,2010-06,6.5
Germany,2010-07,6.4
Germany,2010-08,6.4
Germany,2010-09,6.3
Germany,2010-10,6.3
Germany,2010-11,6.2
Germany,2010-12,6.1
Germany,2011-01,6.0
Germany,2011-02,5.9
Germany,2011-03,5.7
Germany,2011-04,5.6
Germany,2011-05,5.6
Germany,2011-06,5.5
Germany,2011-07,5.5
Germany,2011-08,5.4
Germany,2011-09,5.4
Germany,2011-10,5.3
Germany,2011-11,5.2
Germany,2011-12,5.2
Germany,2012-01,5.1
Germany,2012-02,5.1
Germany,2012-03,5.1
Germany,2012-04,5.1
Germany,2012-05,5.1
Germany,2012-06,5.1
Germany,2012-07,5.1
Germany,2012-08,5.0
Germany,2012-09,5.0
Germany,2012-10,5.0
Germany,2012-11,5.0
Germany,2012-12,5.0
Germany,2013-01,5.1
Germany,2013-02,5.1
Germany,2013-03,5.0
Germany,2013-04,5.0
Germany,2013-05,5.0
Germany,2013-06,4.9
Germany,2013-07,4.9
Germany,2013-08,4.9
Germany,2013-09,4.9
Germany,2013-10,4.8
Germany,2013-11,4.8
Germany,2013-12,4.9
Germany,2014-01,4.8
Germany,2014-02,4.8
Germany,2014-03,4.8
Germany,2014-04,4.8
Germany,2014-05,4.7
Germany,2014-06,4.7
Germany,2014-07,4.7
Germany,2014-08,4.7
Germany,2014-09,4.7
Germany,2014-10,4.7
Germany,2014-11,4.6
Germany,2014-12,4.6
Germany,2015-01,4.5
Germany,2015-02,4.5
Germany,2015-03,4.5
Germany,2015-04,4.4
Germany,2015-05,4.4
Germany,2015-06,4.4
Germany,2015-07,4.3
Germany,2015-08,4.3
Germany,2015-09,4.3
Germany,2015-10,4.3
Germany,2015-11,4.2
Germany,2015-12,4.2
Germany,2016-01,4.2
Germany,2016-02,4.1
Germany,2016-03,4.1
Germany,2016-04,4.0
Germany,2016-05,4.0
Germany,2016-06,4.0
Germany,2016-07,3.9
Germany,2016-08,3.9
Germany,2016-09,3.8
Germany,2016-10,3.8
Germany,2016-11,3.7
Germany,2016-12,3.7
Germany,2017-01,3.7
Germany,2017-02,3.7
Germany,2017-03,3.7
Germany,2017-04,3.6
Germany,2017-05,3.6
Germany,2017-06,3.6
Germany,2017-07,3.5
Germany,2017-08,3.5
Germany,2017-09,3.5
Germany,2017-10,3.5
Germany,2017-11,3.4
Germany,2017-12,3.4
Germany,2018-01,3.3
Germany,2018-02,3.3
Germany,2018-03,3.3
Germany,2018-04,3.3
Germany,2018-05,3.2
Germany,2018-06,3.2
Germany,2018-07,3.2
Germany,2018-08,3.2
Germany,2018-09,3.2
Germany,2018-10,3.1
Germany,2018-11,3.1
Germany,2018-12,3.1
Germany,2019-01,3.1
Germany,2019-02,3.0
Germany,2019-03,3.0
Germany,2019-04,3.0
Germany,2019-05,2.9
Germany,2019-06,2.9
Germany,2019-07,2.9
Germany,2019-08,2.9
Germany,2019-09,2.9
Germany,2019-10,3.0
Germany,2019-11,3.1
Germany,2019-12,3.2
Portugal,2000-01,5.6
Portugal,2000-02,5.5
Portugal,2000-03,5.3
Portugal,2000-04,5.2
Portugal,2000-05,5.3
Portugal,2000-06,5.2
Portugal,2000-07,5.3
Portugal,2000-08,5.4
Portugal,2000-09,5.3
Portugal,2000-10,5.2
Portugal,2000-11,5.0
Portugal,2000-12,5.1
Portugal,2001-01,5.1
Portugal,2001-02,5.3
Portugal,2001-03,5.4
Portugal,2001-04,5.4
Portugal,2001-05,5.4
Portugal,2001-06,5.4
Portugal,2001-07,5.5
Portugal,2001-08,5.4
Portugal,2001-09,5.4
Portugal,2001-10,5.3
Portugal,2001-11,5.4
Portugal,2001-12,5.4
Portugal,2002-01,5.6
Portugal,2002-02,5.6
Portugal,2002-03,5.7
Portugal,2002-04,5.8
Portugal,2002-05,6.2
Portugal,2002-06,6.4
Portugal,2002-07,6.6
Portugal,2002-08,6.5
Portugal,2002-09,6.8
Portugal,2002-10,7.2
Portugal,2002-11,7.5
Portugal,2002-12,7.6
Portugal,2003-01,7.6
Portugal,2003-02,7.7
Portugal,2003-03,7.7
Portugal,2003-04,7.8
Portugal,2003-05,8.0
Portugal,2003-06,7.9
Portugal,2003-07,7.8
Portugal,2003-08,7.8
Portugal,2003-09,7.8
Portugal,2003-10,8.0
Portugal,2003-11,7.9
Portugal,2003-12,7.7
Portugal,2004-01,7.5
Portugal,2004-02,7.6
Portugal,2004-03,7.7
Portugal,2004-04,7.8
Portugal,2004-05,8.1
Portugal,2004-06,8.3
Portugal,2004-07,8.2
Portugal,2004-08,8.5
Portugal,2004-09,8.5
Portugal,2004-10,8.5
Portugal,2004-11,8.5
Portugal,2004-12,8.7
Portugal,2005-01,8.7
Portugal,2005-02,8.8
Portugal,2005-03,9.0
Portugal,2005-04,9.1
Portugal,2005-05,9.1
Portugal,2005-06,9.2
Portugal,2005-07,9.5
Portugal,2005-08,9.4
Portugal,2005-09,9.5
Portugal,2005-10,9.5
Portugal,2005-11,9.5
Portugal,2005-12,9.3
Portugal,2006-01,9.2
Portugal,2006-02,9.1
Portugal,2006-03,9.1
Portugal,2006-04,9.1
Portugal,2006-05,9.1
Portugal,2006-06,9.1
Portugal,2006-07,9.2
Portugal,2006-08,9.2
Portugal,2006-09,9.5
Portugal,2006-10,9.7
Portugal,2006-11,9.7
Portugal,2006-12,9.7
Portugal,2007-01,9.7
Portugal,2007-02,9.8
Portugal,2007-03,9.8
Portugal,2007-04,9.9
Portugal,2007-05,9.7
Portugal,2007-06,9.6
Portugal,2007-07,9.6
Portugal,2007-08,9.6
Portugal,2007-09,9.4
Portugal,2007-10,9.4
Portugal,2007-11,9.3
Portugal,2007-12,9.2
Portugal,2008-01,9.0
Portugal,2008-02,8.9
Portugal,2008-03,9.0
Portugal,2008-04,9.0
Portugal,2008-05,9.1
Portugal,2008-06,9.3
Portugal,2008-07,9.2
Portugal,2008-08,9.4
Portugal,2008-09,9.4
Portugal,2008-10,9.4
Portugal,2008-11,9.4
Portugal,2008-12,9.8
Portugal,2009-01,10.0
Portugal,2009-02,10.3
